District,State ,Growth,Sex_Ratio,Literacy
South Andaman,Andaman And Nicobar Islands,0.14,871,89.13
North And Middle Andaman,Andaman And Nicobar Islands,0,925,83.91
Nicobars,Andaman And Nicobar Islands,-0.12,777,78.06
Rangareddy,Andhra Pradesh,0.48,961,75.87
East Godavari,Andhra Pradesh,0.05,"1,006.00",70.99
Guntur,Andhra Pradesh,0.09,"1,003.00",67.4
Krishna,Andhra Pradesh,0.08,992,73.74
Visakhapatnam,Andhra Pradesh,0.12,"1,006.00",66.91
Chittoor,Andhra Pradesh,0.11,997,71.53
Anantapur,Andhra Pradesh,0.12,977,63.57
Kurnool,Andhra Pradesh,0.15,988,59.97
Mahbubnagar,Andhra Pradesh,0.15,977,55.04
Hyderabad,Andhra Pradesh,0.03,954,83.25
West Godavari,Andhra Pradesh,0.04,"1,004.00",74.63
Karimnagar,Andhra Pradesh,0.08,"1,008.00",64.15
Warangal,Andhra Pradesh,0.08,997,65.11
Nalgonda,Andhra Pradesh,0.07,983,64.2
Prakasam,Andhra Pradesh,0.11,981,63.08
Medak,Andhra Pradesh,0.14,992,61.42
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.11,985,68.9
YSR,Andhra Pradesh,0.11,985,67.3
Khammam,Andhra Pradesh,0.08,"1,011.00",64.81
Adilabad,Andhra Pradesh,0.1,"1,001.00",61.01
Srikakulam,Andhra Pradesh,0.07,"1,015.00",61.74
Nizamabad,Andhra Pradesh,0.09,"1,040.00",61.25
Vizianagaram,Andhra Pradesh,0.04,"1,019.00",58.89
Papumpare,Arunachal Pradesh,0.45,980,79.95
Changlang,Arunachal Pradesh,0.18,926,59.8
Lohit,Arunachal Pradesh,0.17,912,68.18
West Siang,Arunachal Pradesh,0.08,930,66.46
Tirap,Arunachal Pradesh,0.12,944,52.19
East Siang,Arunachal Pradesh,0.14,980,72.54
Kurung Kumey,Arunachal Pradesh,1.17,"1,032.00",48.75
West Kameng,Arunachal Pradesh,0.13,819,67.07
Upper Subansiri,Arunachal Pradesh,0.51,998,63.8
Lower Subansiri,Arunachal Pradesh,0.49,984,74.35
East Kameng,Arunachal Pradesh,0.38,"1,029.00",60.02
Lower Dibang Valley,Arunachal Pradesh,0.07,928,69.13
Tawang,Arunachal Pradesh,0.28,714,59
Upper Siang,Arunachal Pradesh,0.06,889,59.99
Anjaw,Arunachal Pradesh,0.14,839,56.46
Dibang Valley,Arunachal Pradesh,0.1,813,64.1
Nagaon,Assam,0.22,962,72.37
Dhubri,Assam,0.24,953,58.34
Sonitpur,Assam,0.16,956,67.34
Cachar,Assam,0.2,959,79.34
Barpeta,Assam,0.21,953,63.81
Kamrup,Assam,0.16,949,75.55
Tinsukia,Assam,0.15,952,69.66
Dibrugarh,Assam,0.12,961,76.05
Kamrup Metropolitan,Assam,0.18,936,88.71
Karimganj,Assam,0.22,963,78.22
Sivasagar,Assam,0.09,954,80.41
Jorhat,Assam,0.09,962,82.15
Golaghat,Assam,0.13,964,77.43
Lakhimpur,Assam,0.17,968,77.2
Goalpara,Assam,0.23,964,67.37
Morigaon,Assam,0.23,967,68.03
Karbi Anglong,Assam,0.18,951,69.25
Baksa,Assam,0.11,974,69.25
Darrang,Assam,0.22,954,63.08
Kokrajhar,Assam,0.05,959,65.22
Udalguri,Assam,0.1,973,65.41
Nalbari,Assam,0.12,949,78.63
Bongaigaon,Assam,0.21,966,69.74
Dhemaji,Assam,0.2,953,72.7
Hailakandi,Assam,0.21,951,74.33
Chirang,Assam,0.11,969,63.55
Dima Hasao,Assam,0.14,932,77.54
Patna,Bihar,0.24,897,70.68
Purbi Champaran,Bihar,0.29,902,55.79
Muzaffarpur,Bihar,0.28,900,63.43
Madhubani,Bihar,0.26,926,58.62
Gaya,Bihar,0.26,937,63.67
Samastipur,Bihar,0.26,911,61.86
Saran,Bihar,0.22,954,65.96
Darbhanga,Bihar,0.19,911,56.56
Pashchim Champaran,Bihar,0.29,909,55.7
Vaishali,Bihar,0.29,895,66.6
Sitamarhi,Bihar,0.28,899,52.05
Siwan,Bihar,0.23,988,69.45
Purnia,Bihar,0.28,921,51.08
Katihar,Bihar,0.28,919,52.24
Bhagalpur,Bihar,0.25,880,63.14
Begusarai,Bihar,0.26,895,63.87
Rohtas,Bihar,0.21,918,73.37
Nalanda,Bihar,0.21,922,64.43
Araria,Bihar,0.3,921,53.53
Bhojpur,Bihar,0.22,907,70.47
Gopalganj,Bihar,0.19,"1,021.00",65.47
Aurangabad,Bihar,0.26,926,70.32
Supaul,Bihar,0.29,929,57.67
Nawada,Bihar,0.23,939,59.76
Banka,Bihar,0.26,907,58.17
Madhepura,Bihar,0.31,911,52.25
Saharsa,Bihar,0.26,906,53.2
Jamui,Bihar,0.26,922,59.79
Buxar,Bihar,0.22,922,70.14
Kishanganj,Bihar,0.3,950,55.46
Khagaria,Bihar,0.3,886,57.92
Kaimur,Bihar,0.26,920,69.34
Munger,Bihar,0.2,876,70.46
Jehanabad,Bihar,0.22,922,66.8
Lakhisarai,Bihar,0.25,902,62.42
Arwal,Bihar,0.19,928,67.43
Sheohar,Bihar,0.27,893,53.78
Sheikhpura,Bihar,0.21,930,63.86
Chandigarh,Chandigarh,0.17,818,86.05
Raipur,Chhattisgarh,0.35,984,75.56
Durg,Chhattisgarh,0.19,988,79.06
Bilaspur,Chhattisgarh,0.33,971,70.78
Surguja,Chhattisgarh,0.2,978,60.01
Janjgir Champa,Chhattisgarh,0.23,986,73.07
Rajnandgaon,Chhattisgarh,0.2,"1,015.00",75.96
Raigarh,Chhattisgarh,0.18,991,73.26
Bastar,Chhattisgarh,0.18,"1,023.00",54.4
Korba,Chhattisgarh,0.19,969,72.37
Mahasamund,Chhattisgarh,0.2,"1,017.00",71.02
Jashpur,Chhattisgarh,0.15,"1,005.00",67.92
Kabirdham,Chhattisgarh,0.41,996,60.85
Dhamtari,Chhattisgarh,0.13,"1,010.00",78.36
Kanker,Chhattisgarh,0.15,"1,006.00",70.29
Korea,Chhattisgarh,0.12,968,70.64
Dantewada,Chhattisgarh,0.12,"1,020.00",42.12
Bijapur,Chhattisgarh,0.09,984,40.86
Narayanpur,Chhattisgarh,0.19,994,48.62
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.56,774,76.24
Daman,Daman and Diu,0.68,534,88.07
Diu,Daman and Diu,0.18,"1,031.00",83.46
North West Delhi,Delhi,0.28,865,84.45
South Delhi,Delhi,0.21,862,86.57
West Delhi,Delhi,0.19,875,86.98
South West Delhi,Delhi,0.31,840,88.28
North East Delhi,Delhi,0.27,886,83.09
East Delhi,Delhi,0.17,884,89.31
North Delhi,Delhi,0.14,869,86.85
Central Delhi,Delhi,-0.1,892,85.14
New Delhi,Delhi,-0.21,822,88.34
North Goa,Goa,0.08,963,89.57
South Goa,Goa,0.09,986,87.59
Ahmadabad,Gujarat,0.24,904,85.31
Surat,Gujarat,0.42,787,85.53
Vadodara,Gujarat,0.14,934,78.92
Rajkot,Gujarat,0.2,927,80.96
Banaskantha,Gujarat,0.25,938,65.32
Bhavnagar,Gujarat,0.17,933,75.52
Junagadh,Gujarat,0.12,953,75.8
Sabarkantha,Gujarat,0.17,952,75.79
PanchMahal,Gujarat,0.18,949,70.99
Kheda,Gujarat,0.14,940,82.65
Jamnagar,Gujarat,0.13,939,73.65
Dohad,Gujarat,0.3,990,58.82
Anand,Gujarat,0.13,925,84.37
Kachchh,Gujarat,0.32,908,70.59
Mahesana,Gujarat,0.11,926,83.61
Surendranagar,Gujarat,0.16,930,72.13
Valsad,Gujarat,0.21,922,78.55
Bharuch,Gujarat,0.13,925,81.51
Amreli,Gujarat,0.09,964,74.25
Gandhinagar,Gujarat,0.04,923,84.16
Patan,Gujarat,0.14,935,72.3
Navsari,Gujarat,0.08,961,83.88
Tapi,Gujarat,0.12,"1,007.00",68.26
Narmada,Gujarat,0.15,961,72.31
Porbandar,Gujarat,0.09,950,75.78
The Dangs,Gujarat,0.22,"1,006.00",75.16
Faridabad,Haryana,0.33,873,81.7
Hisar,Haryana,0.13,872,72.89
Bhiwani,Haryana,0.15,886,75.21
Gurgaon,Haryana,0.74,854,84.7
Karnal,Haryana,0.18,887,74.73
Sonipat,Haryana,0.13,856,79.12
Jind,Haryana,0.12,871,71.44
Sirsa,Haryana,0.16,897,68.82
Yamunanagar,Haryana,0.17,877,77.99
Panipat,Haryana,0.25,864,75.94
Ambala,Haryana,0.11,885,81.75
Mewat,Haryana,0.38,907,54.08
Kaithal,Haryana,0.14,881,69.15
Rohtak,Haryana,0.13,867,80.22
Palwal,Haryana,0.26,880,69.32
Kurukshetra,Haryana,0.17,888,76.31
Jhajjar,Haryana,0.09,862,80.65
Fatehabad,Haryana,0.17,902,67.92
Mahendragarh,Haryana,0.13,895,77.72
Rewari,Haryana,0.18,898,80.99
Panchkula,Haryana,0.2,873,81.88
Kangra,Himachal Pradesh,0.13,"1,012.00",85.67
Mandi,Himachal Pradesh,0.11,"1,007.00",81.53
Shimla,Himachal Pradesh,0.13,915,83.64
Solan,Himachal Pradesh,0.16,880,83.68
Sirmaur,Himachal Pradesh,0.16,918,78.8
Una,Himachal Pradesh,0.16,976,86.53
Chamba,Himachal Pradesh,0.13,986,72.17
Hamirpur,Himachal Pradesh,0.1,"1,095.00",88.15
Kullu,Himachal Pradesh,0.15,942,79.4
Bilaspur,Himachal Pradesh,0.12,981,84.59
Kinnaur,Himachal Pradesh,0.07,819,80
Lahul and Spiti,Himachal Pradesh,-0.05,903,76.81
Jammu,Jammu and Kashmir,0.13,880,83.45
Srinagar,Jammu and Kashmir,0.2,900,69.41
Anantnag,Jammu and Kashmir,0.39,927,62.69
Baramula,Jammu and Kashmir,0.19,885,64.63
Kupwara,Jammu and Kashmir,0.34,835,64.51
Badgam,Jammu and Kashmir,0.24,894,56.08
Rajouri,Jammu and Kashmir,0.33,860,68.17
Kathua,Jammu and Kashmir,0.21,890,73.09
Pulwama,Jammu and Kashmir,0.27,912,63.48
Udhampur,Jammu and Kashmir,0.21,870,68.49
Punch,Jammu and Kashmir,0.28,893,66.74
Kulgam,Jammu and Kashmir,0.08,951,59.23
Doda,Jammu and Kashmir,0.28,919,64.68
Bandipora,Jammu and Kashmir,0.29,889,56.28
Samba,Jammu and Kashmir,0.17,886,81.41
Reasi,Jammu and Kashmir,0.27,890,58.15
Ganderbal,Jammu and Kashmir,0.37,874,58.04
